date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
2021-11-14,FIFA World Cup qualification,Congo,Senegal,-1,L,0,2,0,NA,Thiès,Senegal,FALSE,23.375,61.875,0,0
2021-11-14,FIFA World Cup qualification,Madagascar,Tanzania,1,D,1,1,1,NA,Antananarivo,Madagascar,FALSE,28.928571428571427,70.14285714285714,3,1
2021-11-14,FIFA World Cup qualification,Tanzania,Madagascar,-1,D,1,1,1,NA,Antananarivo,Madagascar,FALSE,24.8,66,5,0
2021-11-14,FIFA World Cup qualification,Portugal,Serbia,1,L,1,2,0,NA,Lisbon,Portugal,FALSE,27.5625,61.875,3,0
2021-11-14,FIFA World Cup qualification,Serbia,Portugal,-1,W,2,1,3,NA,Lisbon,Portugal,FALSE,25.733333333333334,66,4,0
2021-11-14,FIFA World Cup qualification,Spain,Sweden,1,W,1,0,3,NA,Seville,Spain,FALSE,26.5625,61.875,1,0
2021-11-14,FIFA World Cup qualification,Sweden,Spain,-1,L,0,1,0,NA,Seville,Spain,FALSE,28.133333333333333,66,2,0
2021-11-14,FIFA World Cup qualification,Greece,Kosovo,1,D,1,1,1,NA,Athens,Greece,FALSE,25.466666666666665,66,0,0
2021-11-14,FIFA World Cup qualification,Kosovo,Greece,-1,D,1,1,1,NA,Athens,Greece,FALSE,25.133333333333333,66,2,0
2021-11-14,FIFA World Cup qualification,Croatia,Russia,1,W,1,0,3,NA,Split,Croatia,FALSE,26.666666666666668,66,2,0
2021-11-14,FIFA World Cup qualification,Russia,Croatia,-1,L,0,1,0,NA,Split,Croatia,FALSE,26.4375,61.875,2,0
2021-11-14,FIFA World Cup qualification,Malta,Slovakia,1,L,0,6,0,NA,Ta' Qali,Malta,FALSE,25.25,56.625,6,2
2021-11-14,FIFA World Cup qualification,Slovakia,Malta,-1,W,6,0,3,NA,Ta' Qali,Malta,FALSE,25.0625,61.875,0,0
2021-11-14,FIFA World Cup qualification,Slovenia,Cyprus,1,W,2,1,3,NA,Ljubljana,Slovenia,FALSE,26.571428571428573,70.71428571428571,2,0
2021-11-14,FIFA World Cup qualification,Cyprus,Slovenia,-1,L,1,2,0,NA,Ljubljana,Slovenia,FALSE,27,70.71428571428571,3,0
2021-11-14,FIFA World Cup qualification,Liechtenstein,Romania,1,L,0,2,0,NA,Vaduz,Liechtenstein,FALSE,26.125,61.875,3,0
2021-11-14,FIFA World Cup qualification,Romania,Liechtenstein,-1,W,2,0,3,NA,Vaduz,Liechtenstein,FALSE,25.5625,61.875,0,0
2014-05-13,Friendly,Germany,Poland,1,D,0,0,1,NA,Hamburg,Germany,FALSE,21.764705882352942,58.23529411764706,0,0
2014-05-13,Friendly,Poland,Germany,-1,D,0,0,1,NA,Hamburg,Germany,FALSE,25.470588235294116,58.23529411764706,0,0
2021-11-14,FIFA World Cup qualification,Armenia,Germany,1,L,1,4,0,NA,Yerevan,Armenia,FALSE,27.333333333333332,66,1,0
2021-11-14,FIFA World Cup qualification,Germany,Armenia,-1,W,4,1,3,NA,Yerevan,Armenia,FALSE,26.125,61.875,2,0
2021-11-15,Friendly,Georgia,Uzbekistan,1,W,1,0,3,NA,Gori,Georgia,FALSE,25.5,61.4375,1,1
2021-11-15,Friendly,Uzbekistan,Georgia,-1,L,0,1,0,NA,Gori,Georgia,FALSE,25.533333333333335,65.53333333333333,1,1
2021-11-15,Friendly,Lithuania,Kuwait,1,D,1,1,1,NA,Vilnius,Lithuania,FALSE,25.294117647058822,58.23529411764706,3,0
2021-11-15,Friendly,Kuwait,Lithuania,-1,D,1,1,1,NA,Vilnius,Lithuania,FALSE,26.076923076923077,70.71428571428571,3,0
2021-11-15,FIFA World Cup qualification,Niger,Djibouti,1,W,7,2,3,NA,Niamey,Niger,FALSE,25,66,4,0
2021-11-15,FIFA World Cup qualification,Djibouti,Niger,-1,L,2,7,0,NA,Niamey,Niger,FALSE,24,66,3,0
2021-11-15,FIFA World Cup qualification,Kenya,Rwanda,1,W,2,1,3,NA,Nairobi,Kenya,FALSE,25.666666666666668,66,2,0
2021-11-15,FIFA World Cup qualification,Rwanda,Kenya,-1,L,1,2,0,NA,Nairobi,Kenya,FALSE,24.928571428571427,70.71428571428571,2,0
2021-11-15,FIFA World Cup qualification,Namibia,Togo,0,L,0,1,0,NA,Johannesburg,South Africa,TRUE,27.133333333333333,66,2,0
2021-11-15,FIFA World Cup qualification,Togo,Namibia,0,W,1,0,3,NA,Johannesburg,South Africa,TRUE,26.666666666666668,66,3,0
2021-11-15,FIFA World Cup qualification,Guinea-Bissau,Sudan,0,D,0,0,1,NA,Marrakech,Morocco,TRUE,26.066666666666666,66,0,0
2021-11-15,FIFA World Cup qualification,Sudan,Guinea-Bissau,0,D,0,0,1,NA,Marrakech,Morocco,TRUE,27.2,66,1,0
2021-11-15,FIFA World Cup qualification,Northern Ireland,Italy,1,D,0,0,1,NA,Belfast,Northern Ireland,FALSE,28.692307692307693,76.15384615384616,2,0
2021-11-15,FIFA World Cup qualification,Italy,Northern Ireland,-1,D,0,0,1,NA,Belfast,Northern Ireland,FALSE,26.5,61.875,2,0
2021-11-15,FIFA World Cup qualification,Switzerland,Bulgaria,1,W,4,0,3,NA,Lucerne,Switzerland,FALSE,26.8125,61.875,2,0
2021-11-15,FIFA World Cup qualification,Bulgaria,Switzerland,-1,L,0,4,0,NA,Lucerne,Switzerland,FALSE,26.1875,61.875,2,0
2021-11-15,FIFA World Cup qualification,Scotland,Denmark,1,W,2,0,3,NA,Glasgow,Scotland,FALSE,26.933333333333334,66,0,0
2021-11-15,FIFA World Cup qualification,Denmark,Scotland,-1,L,0,2,0,NA,Glasgow,Scotland,FALSE,26.5625,61.875,1,0
1998-06-11,FIFA World Cup,Italy,Chile,0,D,2,2,1,NA,Bordeaux,France,TRUE,27.285714285714285,70.71428571428572,2,0
1998-06-11,FIFA World Cup,Chile,Italy,0,D,2,2,1,NA,Bordeaux,France,TRUE,26.928571428571427,70.71428571428571,3,0
