date,tournament,team,opponent,location,result,score,opp_score,pred_score,pred_opp_score,D,L,W,is_draw,is_win,is_loss
2022-12-10,FIFA World Cup,Portugal,Morocco,0,L,0,1,1.4733266178703843,1.0583800718051757,0.2812511,0.2653972,0.4533517,0,0,1
2022-12-10,FIFA World Cup,France,England,0,W,2,1,1.3683763441344619,1.347303267807376,0.2774144,0.3566473,0.3659382,0,1,0
2022-12-13,FIFA World Cup,Argentina,Croatia,0,W,3,0,1.7157380375248752,0.9693776026368985,0.2584964,0.2086452,0.5328584,0,1,0
2022-12-13,FIFA World Cup,Croatia,Argentina,0,L,0,3,0.9693856194046142,1.7157106382369243,0.2584992,0.5328502,0.2086506,0,0,1
2022-12-14,FIFA World Cup,France,Morocco,0,W,2,0,1.486342865835876,1.0443987067435092,0.2803744,0.2597919,0.4598337,0,1,0
2022-12-14,FIFA World Cup,Morocco,France,0,L,0,2,1.0444055048794287,1.4863167240689483,0.2803767,0.4598256,0.2597977,0,0,1
2022-12-17,FIFA World Cup,Croatia,Morocco,0,W,2,1,1.3047555153027668,1.2379654243004228,0.2873873,0.3411133,0.3714994,0,1,0
2022-12-17,FIFA World Cup,Morocco,Croatia,0,L,1,2,1.2379655822129925,1.3047265272691702,0.2873892,0.3714918,0.3411189,0,0,1
2022-12-18,FIFA World Cup,Argentina,France,0,D,3,3,1.5221779601913115,1.1509677994366765,0.2745813,0.2806620,0.4447567,1,0,0
2022-12-18,FIFA World Cup,France,Argentina,0,D,3,3,1.150972969937723,1.5221439206800107,0.2745839,0.4447472,0.2806689,1,0,0
